cod_matricula,max_fecha_plano,max_fecha_sap,id_zre,cod_naturaleza_juridica,naturaleza_juridica,anio,mes,id_usuario
538,2024-12-31,2023-10-06,001,0125,COMPRAVENTA,2024,12,101
674,2025-03-31,2011-04-13,001,0125,COMPRAVENTA,2025,3,101
688,2024-04-30,2012-09-11,001,0125,COMPRAVENTA,2024,4,101
2091,2025-01-31,2010-03-25,001,0125,COMPRAVENTA,2025,1,101
3240,2024-11-30,2023-03-24,001,0125,COMPRAVENTA,2024,11,101
4999,2024-06-30,2024-06-24,001,0125,COMPRAVENTA,2024,6,101
6955,2024-11-30,2010-03-10,001,0125,COMPRAVENTA,2024,11,101
7802,2024-11-30,2006-06-08,01N,0125,COMPRAVENTA,2024,11,101
8565,2024-04-30,2006-09-11,001,0125,COMPRAVENTA,2024,4,101
9002,2024-07-31,2014-01-29,001,0125,COMPRAVENTA,2024,7,101
10596,2023-12-31,2021-02-03,001,0125,COMPRAVENTA,2023,12,101
11221,2024-07-31,2014-02-26,001,0125,COMPRAVENTA,2024,7,101
11468,2024-05-31,2010-12-10,01N,0125,COMPRAVENTA,2024,5,101
12415,2025-03-31,2006-10-09,001,0125,COMPRAVENTA,2025,3,101
13663,2025-01-31,2007-07-18,001,0125,COMPRAVENTA,2025,1,101
14600,2025-01-31,2025-01-29,01N,0125,COMPRAVENTA,2025,1,101
16449,2023-12-31,2019-04-08,01N,0125,COMPRAVENTA,2023,12,101
16825,2025-02-28,2025-02-14,001,0125,COMPRAVENTA,2025,2,101
17394,2024-11-30,2016-01-15,01N,0125,COMPRAVENTA,2024,11,101
19145,2025-03-31,2013-03-04,01N,0109,ADJUDICACION EN SUCESION,2025,3,101
19436,2024-04-30,2018-06-18,001,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,4,101
20514,2023-12-31,2018-12-13,01N,0125,COMPRAVENTA,2023,12,101
20564,2024-04-30,2009-03-13,01N,0109,ADJUDICACION EN SUCESION,2024,4,101
21322,2024-10-31,2020-11-23,001,0125,COMPRAVENTA,2024,10,101
22233,2024-10-31,2023-07-18,01N,0125,COMPRAVENTA,2024,10,101
24012,2025-03-31,2015-02-20,001,0125,COMPRAVENTA,2025,3,101
24828,2024-06-30,2024-06-18,001,0125,COMPRAVENTA,2024,6,101
25172,2023-11-30,2014-10-22,001,0125,COMPRAVENTA,2023,11,101
25996,2024-10-31,2024-10-10,01N,0125,COMPRAVENTA,2024,10,101
26755,2024-09-30,2014-02-18,001,0125,COMPRAVENTA,2024,9,101
27028,2024-02-29,2021-06-02,01N,0125,COMPRAVENTA,2024,2,101
27630,2025-03-31,2022-05-12,01N,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2025,3,101
28172,2023-11-30,2018-08-21,001,0125,COMPRAVENTA,2023,11,101
28903,2024-11-30,2024-05-07,001,0125,COMPRAVENTA,2024,11,101
29567,2025-03-31,2015-11-05,001,0125,COMPRAVENTA,2025,3,101
30179,2024-06-30,2024-01-02,01N,0125,COMPRAVENTA,2024,6,101
31347,2024-06-30,2007-12-07,001,0112,ADJUDICACION LIQUIDACION SOCIEDAD CONYUGAL,2024,6,101
31653,2024-05-31,2012-01-30,001,0125,COMPRAVENTA,2024,5,101
